epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.549,4.25372,0.35198,0.60634,3.01106,0.0670285,0.000333045,0.000333045
2,86.1214,1.9033,0.73461,0.90264,1.07144,0.0340219,0.000659782,0.000659782
3,123.804,1.35081,0.81285,0.93779,0.7575,0.0010087,0.000979918,0.000979918
4,160.359,1.08313,0.85249,0.94972,0.61796,0.0009703,0.0009703,0.0009703
5,197.337,0.92106,0.87622,0.96113,0.49668,0.0009604,0.0009604,0.0009604
6,234.569,0.80701,0.88994,0.96665,0.46075,0.0009505,0.0009505,0.0009505
7,271.585,0.74366,0.8884,0.9696,0.44088,0.0009406,0.0009406,0.0009406
8,309.83,0.68841,0.90316,0.97127,0.40463,0.0009307,0.0009307,0.0009307
9,346.36,0.6709,0.91457,0.97486,0.36035,0.0009208,0.0009208,0.0009208
10,382.878,0.64708,0.91701,0.97255,0.3622,0.0009109,0.0009109,0.0009109
11,419.408,0.60108,0.92086,0.97704,0.33798,0.000901,0.000901,0.000901
12,456.312,0.57504,0.92727,0.97922,0.31259,0.0008911,0.0008911,0.0008911
13,492.559,0.57162,0.92971,0.97999,0.30235,0.0008812,0.0008812,0.0008812
14,529.389,0.54635,0.93612,0.98025,0.28721,0.0008713,0.0008713,0.0008713
15,565.959,0.53802,0.93881,0.97999,0.28071,0.0008614,0.0008614,0.0008614
16,602.348,0.51773,0.9383,0.98256,0.26498,0.0008515,0.0008515,0.0008515
17,638.659,0.50489,0.94536,0.98281,0.25022,0.0008416,0.0008416,0.0008416
18,675.366,0.48778,0.94536,0.98281,0.24398,0.0008317,0.0008317,0.0008317
19,711.705,0.47996,0.94395,0.98345,0.24566,0.0008218,0.0008218,0.0008218
20,748.916,0.46693,0.94484,0.98435,0.23998,0.0008119,0.0008119,0.0008119
21,785.248,0.46313,0.94933,0.98448,0.22833,0.000802,0.000802,0.000802
22,823.043,0.45086,0.951,0.98563,0.22328,0.0007921,0.0007921,0.0007921
23,859.893,0.45724,0.95023,0.98615,0.22041,0.0007822,0.0007822,0.0007822
24,896.762,0.42697,0.95215,0.98704,0.21606,0.0007723,0.0007723,0.0007723
25,933.2,0.42814,0.95382,0.98692,0.21283,0.0007624,0.0007624,0.0007624
26,969.565,0.41701,0.95421,0.98692,0.20997,0.0007525,0.0007525,0.0007525
27,1005.88,0.41346,0.95575,0.98743,0.20844,0.0007426,0.0007426,0.0007426
28,1042.81,0.41742,0.95626,0.98743,0.20694,0.0007327,0.0007327,0.0007327
29,1078.83,0.40698,0.95613,0.9873,0.20502,0.0007228,0.0007228,0.0007228
